id,name,host_id,host_name,neighbourhood_group,neighbourhood,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_month
1090458,Charming Central Park view,5991088,Margot,,,10019,40.7683353,-73.98095512,Entire home/apt,290,4,3,4/8/2014,0.1,2,100,201505
4672710,Amazing view of Manhattan ,9403860,Eva,,,10044,40.76504801,-73.94542626,Private room,100,1,0,,,1,365,201505
4708045,Brownstone in Historic Park Slope,3861781,Joshua,,,11215,40.67359554,-73.97097573,Entire home/apt,145,1,0,,,1,127,201505
2349513,Large Room in Park Ave Apartment ,850498,Aaron,,,10128,40.78559033,-73.95891861,Private room,119,1,16,2/23/2015,1.2,3,318,201505
1652426,Beautiful Large Private Bed/Bath,4592344,Ally,,,10006,40.7130016,-74.01748565,Private room,105,2,22,4/14/2015,1.1,1,320,201505
3727282,Convenient Location,105700,Royall,Queens,Long Island City,11101,40.75224021,-73.92235564,Private room,500,1,0,,,1,365,201505
3595165,Cozy & Sunny 1br in Brooklyn!,18086162,Melissa,Brooklyn,Bedford-Stuyvesant,11216,40.68712565,-73.9538013,Entire home/apt,140,3,5,4/22/2015,0.7,1,362,201505
4384643,Arty Unique space with a Jazz soul,22763692,Iya,Manhattan,Morningside Heights,10026,40.80293285,-73.95863056,Private room,91,2,2,4/23/2015,0.5,1,313,201505
3978543,Spectacular Penthouse Apartment.,20619659,Anita,Manhattan,Harlem,10027,40.80580843,-73.94556731,Entire home/apt,230,2,3,3/18/2015,0.6,3,236,201505
848071,ENTIRE 1 BEDROOM APT -CHINATOWN/LES,4427679,Marcell,Manhattan,Chinatown,10002,40.71714974,-73.9934849,Entire home/apt,135,1,8,4/16/2015,0.3,1,316,201505
866469,"Cozy get away to ""THE CITY""",4105710,Regge Allan,,,11226,40.65454199,-73.96390765,Entire home/apt,100,1,12,9/28/2014,0.5,1,365,201505
2176017,New York City Like Never Before ! !,11098420,Mike,Manhattan,Upper East Side,10075,40.77380909,-73.95453199,Entire home/apt,100,1,19,4/6/2015,1.5,2,344,201505
4187747,Walk to Central Park!Center of NYC!,5309160,Elizabeth,Manhattan,Upper East Side,10075,40.77064671,-73.95064298,Entire home/apt,99,1,10,2/26/2015,1.7,1,171,201505
805312,Stylish Park-View Apt with King Bed,4239357,A. Oliver,Manhattan,East Harlem,10027,40.802643,-73.94400226,Entire home/apt,135,5,22,1/4/2015,0.8,1,341,201505
519805,Beautiful and comfortable apartment,2558159,Silvia,Manhattan,Washington Heights,10033,40.85202924,-73.93826084,Private room,105,3,67,4/6/2015,1.9,1,315,201505
1555853,Pre-War charm 1 bdrm in Bushwick,3329066,Patrjk,Queens,Ridgewood,11207,40.6944709,-73.90499827,Entire home/apt,120,2,4,10/6/2014,0.2,1,239,201505
1095132,Modern NYC 2 Bed. PRIVATE APARTMENT,5855145,Edward,Queens,Ditmars Steinway,11105,40.7770937,-73.91133259,Entire home/apt,108,1,41,4/16/2015,1.7,6,309,201505
4325313,Private Room with Half Bath,4548639,Taariq,Manhattan,Harlem,10037,40.8163862,-73.93867979,Private room,150,1,0,,,2,365,201505
4355934,The Hamilton Guestroom,16954768,Hugo,Manhattan,Harlem,10031,40.81892795,-73.95307619,Private room,40,2,12,4/26/2015,2,4,328,201505
5050369,East Village Ageloff Towers,23465153,Darrin,Manhattan,East Village,10009,40.72535829,-73.98559642,Entire home/apt,250,1,0,,,1,82,201505
505745,5 STAR WALL ST Loft 24/7 Concierge,2493164,James,Manhattan,Financial District,10005,40.70433321,-74.00826174,Entire home/apt,195,1,30,4/27/2015,1.7,5,358,201505
1483682,Modern luxury & stunning views,2329837,Michael,Brooklyn,Clinton Hill,11205,40.69459475,-73.96726039,Entire home/apt,145,4,1,9/13/2013,0.1,1,119,201505
3710166,Designer 1 Bedroom in Williamsburg,18928827,Anna,Brooklyn,Williamsburg,11249,40.71781017,-73.96053455,Entire home/apt,145,4,29,4/27/2015,3.2,1,57,201505
6076787,Lovely brand new 1BR in Harlem,31542456,Filippe,Manhattan,Harlem,10026,40.80065497,-73.94881483,Entire home/apt,325,3,0,,,1,149,201505
25148,Soho Victorian Filled 1 Bedroom,103729,VHM Properties NY,Manhattan,SoHo,10012,40.72645883,-74.00095296,Entire home/apt,189,1,47,9/9/2014,0.8,6,345,201505
4660953,Sunny private room in Fort Greene,20443619,Mina,Brooklyn,Fort Greene,11205,40.69000589,-73.97178082,Private room,125,2,0,,,2,361,201505
651761,Midtown West 2 blocks from Times Sq,2494666,Brian,Manhattan,Hell's Kitchen,10036,40.76128682,-73.98955343,Entire home/apt,250,14,3,8/15/2014,0.1,2,0,201505
3324132,Nice room in an NYC apartment,16725342,Julia,Manhattan,Harlem,10031,40.82292005,-73.95420892,Private room,65,1,5,10/15/2014,0.6,2,316,201505
5098263,Private Room + Happy Home + Safe!,3599539,Be,Queens,Ridgewood,11385,40.70822763,-73.91191253,Private room,50,1,0,,,2,246,201505
268868,Renovated 2 BR West Chelsea ,1408733,Sergio,Manhattan,Chelsea,10001,40.7511482,-74.00194698,Entire home/apt,180,4,16,4/12/2015,0.4,1,23,201505
423275,Cozy & SPacious in d heart Astoria,2105276,Leo,Queens,Astoria,11103,40.76372031,-73.9170349,Entire home/apt,140,3,29,11/28/2014,0.8,1,339,201505
5050157,Artist Loft with Incredible Views,6196195,Ashlie,Brooklyn,Williamsburg,11237,40.70473842,-73.92982136,Private room,60,2,6,4/20/2015,3.2,1,300,201505
141335,Contemporary Architect's Brownstone,687361,Orna,Brooklyn,Park Slope,11217,40.6753465,-73.97654272,Entire home/apt,495,1,17,2/28/2015,0.5,1,357,201505
2297259,SUPER SUPER BOWL PAD,11733037,Clayton,Brooklyn,Boerum Hill,11201,40.68496903,-73.98900442,Entire home/apt,900,1,0,,,1,365,201505
6042410,Charming 1BDR in Greenwich Village,30156651,Emma,Manhattan,West Village,10012,40.72941571,-74.00231121,Entire home/apt,195,1,0,,,1,281,201505
