id,name,host_id,host_name,neighbourhood_group,neighbourhood,zipcode,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,year_month
12836344,Adorable Modern & Antique Studio,33205977,Amela,Queens,Ditmars Steinway,11105,40.77683611,-73.90947286,Entire home/apt,50,30,14,12/8/2016,1.55,1,292,201702
15392868,FURNISHED PRIVITE ROOM,1097998,Umut,Queens,Ditmars Steinway,11105,40.77582539,-73.90785288,Private room,80,2,0,,,1,89,201702
12377755,Beautiful Bedroom for 2 by the Park,66889113,Jocelyn,Queens,Ditmars Steinway,11105,40.77890029,-73.92153205,Private room,55,2,5,6/3/2016,0.59,1,0,201702
10735397,Modern two bedroom in Astoria,24084263,Marco,Queens,Ditmars Steinway,11105,40.76909973,-73.90153898,Entire home/apt,110,5,13,1/10/2017,1.31,2,114,201702
5036261,LARGE ROOM IN A GREAT NEIGHBORHOOD,15929586,Jorge,Queens,Ditmars Steinway,11105,40.77445088,-73.90363073,Private room,37,2,54,1/21/2017,2.19,1,356,201702
9555648,Groundfloor APT-15 min Central Park,23815371,Tina,Queens,Ditmars Steinway,11105,40.77983784,-73.90825897,Entire home/apt,95,2,41,1/14/2017,4.17,2,325,201702
13491197,"Beautiful, sun filled room in newly renovated apt",10645488,Su,Queens,Ditmars Steinway,11105,40.77574925,-73.90848947,Private room,85,3,3,1/2/2017,0.71,1,218,201702
13032380,"Cute, Cozy, Convenient with Cat!",23487922,Rachel,Queens,Ditmars Steinway,11102,40.77164218,-73.91744314,Entire home/apt,85,2,1,6/19/2016,0.13,1,254,201702
7788504,Large Private Room in House w/Yard,2702826,Sara,Queens,Ditmars Steinway,11105,40.7773732,-73.90894835,Private room,56,1,8,9/16/2016,0.48,1,0,201702
8444555,NYC Astoria affordable private room,44213272,Gema,Queens,Ditmars Steinway,11105,40.77437769,-73.91452187,Private room,45,1,46,1/10/2017,7.08,5,364,201702
15017045,"Clean, Garden View private room in Astoria/Ditmars",52977066,Josh,Queens,Ditmars Steinway,11105,40.76814944,-73.90314896,Private room,50,1,14,12/3/2016,3,1,79,201702
4772857,"lrge queen size room,newly decorat",24597265,Freda,Queens,Ditmars Steinway,11105,40.7714867,-73.91138885,Private room,60,6,2,1/3/2017,0.23,8,351,201702
15716189,Comfy private room in great Astoria neighborhood,18192996,Jessica And Danny,Queens,Ditmars Steinway,11105,40.77754719,-73.91515674,Private room,55,1,3,11/14/2016,0.93,2,1,201702
577324,Room in Astoria 25 min to Manhattan,2839267,Dustin,Queens,Ditmars Steinway,11105,40.76914857,-73.90489957,Private room,54,4,60,1/24/2017,1.08,1,114,201702
2738965,3 BEDROOM Apartment-Walk to Subway!,7693749,Evan,Queens,Ditmars Steinway,11105,40.77021395,-73.91499597,Entire home/apt,178,6,134,1/19/2017,3.93,2,44,201702
8507328,"MIDTOWN, MANHATTAN,COLONIAL,ROOM",44213272,Gema,Queens,Ditmars Steinway,11105,40.7728186,-73.9151638,Private room,45,1,40,1/27/2017,2.4,5,365,201702
15126483,Kitschy Corner Bedroom on quiet Astoria block,4811900,Bridget,Queens,Ditmars Steinway,11105,40.7716048,-73.91064183,Private room,72,2,8,1/1/2017,2.07,1,35,201702
14338437,Cozy 1 Bedroom Trendy Astoria,87592548,,Queens,Ditmars Steinway,11105,40.78131296,-73.91212074,Entire home/apt,110,7,2,11/18/2016,0.4,1,90,201702
2051499,Elegant 1 Bed.-10 min to Manhattan,10513282,Daniel,Queens,Ditmars Steinway,11105,40.77449848,-73.91265273,Entire home/apt,81,1,26,10/23/2016,0.68,1,356,201702
1428371,Great  Room in Astoria - New York,7681692,Ernesto,Queens,Ditmars Steinway,11102,40.77045641,-73.9155346,Private room,75,6,0,,,1,180,201702
4377221,Charming Room 20 Mins to Manhattan,20828747,Katerina,Queens,Ditmars Steinway,11105,40.77797759,-73.90893239,Private room,45,2,73,1/27/2017,2.67,8,363,201702
771436,3BR/3 Bath House in Astoria,4070269,William,Queens,Ditmars Steinway,11105,40.78096383,-73.90987734,Entire home/apt,195,14,0,,,1,344,201702
15900882,"Large, cozy one bedroom",103141818,Alden,Queens,Ditmars Steinway,11105,40.77572073,-73.90549321,Entire home/apt,125,2,4,1/2/2017,1.45,1,321,201702
12305625,Convenient Astoria Apartment,66351587,Rocio,Queens,Ditmars Steinway,11105,40.77207232,-73.91098726,Entire home/apt,99,4,11,10/3/2016,1.21,1,342,201702
7718018,COZY HOME 5 mins from LGA AIRPORT,40326136,Kamal,Queens,Ditmars Steinway,11370,40.77086084,-73.89009743,Private room,87,1,30,12/28/2016,1.75,2,365,201702
13616247,Cozy room in heart of Astoria,17070449,Jon,Queens,Ditmars Steinway,11105,40.77368902,-73.91352775,Private room,49,1,21,12/17/2016,2.96,2,0,201702
