CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
676532146,2/14/2016,10:00:00,2/15/2016,12:00:00,2/16/2018,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,MANHATTAN,7,,TRANSIT - NYC SUBWAY,,,"987,206","199,455",40.71414237,-73.98933851,"(40.714142367, -73.989338511)"
792217800,2/16/2016,12:30:00,2/23/2016,23:00:00,2/10/2018,341,PETIT LARCENY,347,PETIT LARCENY-CHECK FROM MAILB,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,34,,MAILBOX OUTSIDE,,,"1,004,811","253,066",40.86126675,-73.92566936,"(40.861266748, -73.925669364)"
629044935,2/23/2016,12:00:00,6/6/2018,12:00:00,6/14/2018,109,GRAND LARCENY,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,"1,005,947","254,944",40.86641857,-73.92155642,"(40.866418569, -73.921556421)"
267580625,2/23/2016,12:00:00,6/6/2018,12:00:00,6/14/2018,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,"1,005,947","254,944",40.86641857,-73.92155642,"(40.866418569, -73.921556421)"
856704542,2/28/2016,7:09:00,2/28/2018,7:09:00,2/28/2018,109,GRAND LARCENY,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,INSIDE,MAILBOX INSIDE,,,"1,001,540","244,426",40.83755952,-73.93751695,"(40.837559515, -73.937516953)"
847129382,2/29/2016,15:39:00,1/31/2018,12:00:00,1/31/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,GYM/FITNESS FACILITY,,,"986,636","219,002",40.7677942,-73.99138769,"(40.767794199, -73.991387694)"
623636864,3/1/2016,0:01:00,3/30/2018,15:30:00,4/4/2018,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,,,"991,204","206,293",40.73290879,-73.97490979,"(40.732908785, -73.97490979)"
607729109,3/1/2016,14:00:00,1/21/2018,20:30:00,1/21/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,30,INSIDE,RESIDENCE - APT. HOUSE,,,"998,060","240,479",40.82673226,-73.95010148,"(40.826732261, -73.950101481)"
150415238,3/2/2016,17:32:00,3/2/2016,17:48:00,2/1/2018,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,MANHATTAN,1,,TRANSIT - NYC SUBWAY,,,"982,466","197,787",40.70956442,-74.00643628,"(40.709564416, -74.006436281)"
280715700,3/10/2016,18:00:00,3/10/2016,18:00:00,5/23/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,17,,STREET,,,"994,001","216,161",40.75999133,-73.96480326,"(40.759991331, -73.964803255)"
915787960,3/15/2016,14:00:00,3/15/2018,14:15:00,3/16/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,33,FRONT OF,RESIDENCE - APT. HOUSE,,,"1,001,188","248,123",40.84770738,-73.93877971,"(40.84770738, -73.938779711)"
435613200,3/23/2016,20:20:00,3/23/2018,20:26:00,3/23/2018,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,TAXI (YELLOW LICENSED),,,"997,016","219,318",40.76865264,-73.95391401,"(40.768652643, -73.953914012)"
797151145,3/29/2016,12:00:00,3/24/2018,19:00:00,4/26/2018,109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,"998,583","222,146",40.77641236,-73.94825085,"(40.776412362, -73.948250846)"
594527773,4/1/2016,0:01:00,4/30/2018,23:59:00,5/29/2018,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,,STREET,,,"1,002,106","249,501",40.85148777,-73.93545797,"(40.851487774, -73.935457967)"
462985519,4/3/2016,14:00:00,4/3/2018,14:20:00,4/9/2018,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. HOUSING POLICE,MANHATTAN,23,INSIDE,RESIDENCE - PUBLIC HOUSING,,,"999,614","227,020",40.78978847,-73.94451718,"(40.789788465, -73.944517181)"
877138773,4/4/2016,9:00:00,1/29/2018,10:55:00,3/2/2018,109,GRAND LARCENY,426,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,RESIDENCE - APT. HOUSE,,,"989,004","220,120",40.77086186,-73.98283813,"(40.770861863, -73.982838131)"
757511095,4/6/2016,0:00:00,4/5/2018,0:00:00,4/6/2018,125,NYS LAWS-UNCLASSIFIED FELONY,847,"NY STATE LAWS,UNCLASSIFIED FEL",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,5,INSIDE,PUBLIC BUILDING,,,"983,903","200,257",40.71634415,-74.00125319,"(40.716344152, -74.001253193)"
587371224,4/8/2016,3:00:00,4/8/2016,6:00:00,4/16/2018,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,FRONT OF,STREET,,,"987,813","219,268",40.7685239,-73.98713844,"(40.768523904, -73.987138437)"
662400916,4/11/2016,0:00:00,4/11/2016,23:59:00,3/20/2018,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",ATTEMPTED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,RESIDENCE - APT. HOUSE,,,"990,708","221,712",40.77523041,-73.97668467,"(40.775230406, -73.976684667)"
724929407,4/13/2016,14:00:00,4/13/2018,14:00:00,4/14/2018,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,RESIDENCE - APT. HOUSE,,,"990,911","223,003",40.77877371,-73.97595045,"(40.778773711, -73.97595045)"
246441119,4/14/2016,14:25:00,4/14/2016,14:30:00,4/14/2018,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,23,INSIDE,RESIDENCE - PUBLIC HOUSING,,,"1,000,531","229,408",40.79634124,-73.94119982,"(40.796341237, -73.941199816)"
150186162,4/16/2016,20:15:00,4/16/2018,20:25:00,4/17/2018,109,GRAND LARCENY,411,"LARCENY,GRAND FROM EATERY, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,RESTAURANT/DINER,,,"988,416","217,571",40.76386581,-73.98496256,"(40.763865814, -73.984962561)"
673889637,4/18/2016,6:45:00,3/26/2018,11:00:00,4/3/2018,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESTAURANT/DINER,,,"988,460","209,761",40.74242932,-73.98480861,"(40.74242932, -73.984808613)"
306823376,4/19/2016,6:25:00,,,2/13/2018,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,26,,STREET,,,"994,488","235,340",40.81263202,-73.9630161,"(40.812632015, -73.963016104)"
160878475,4/22/2016,0:00:00,4/22/2016,2:00:00,2/6/2018,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,9,INSIDE,RESIDENCE - APT. HOUSE,,,"987,624","203,977",40.72655402,-73.98782843,"(40.726554019, -73.987828427)"
